date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2023-12-16,Bundesliga,Matchweek 15,Home,L,0,1,Wolfsburg,0.6,0.6,63.0,13.0,4.0,1.0,0,0,Darmstadt 98
2023-12-19,Bundesliga,Matchweek 16,Away,D,3,3,Hoffenheim,0.8,3.5,55.0,15.0,3.0,0.0,0,0,Darmstadt 98
2024-01-13,Bundesliga,Matchweek 17,Home,L,0,3,Dortmund,1.0,3.1,48.0,11.0,2.0,1.0,0,0,Darmstadt 98
2024-01-20,Bundesliga,Matchweek 18,Home,D,2,2,Eint Frankfurt,1.1,1.2,50.0,12.0,3.0,0.0,0,0,Darmstadt 98
2024-01-28,Bundesliga,Matchweek 19,Away,L,0,1,Union Berlin,1.1,2.5,50.0,16.0,1.0,0.0,0,0,Darmstadt 98
2024-02-03,Bundesliga,Matchweek 20,Home,L,0,2,Leverkusen,0.6,1.9,33.0,8.0,6.0,0.0,0,0,Darmstadt 98
2024-02-10,Bundesliga,Matchweek 21,Away,D,0,0,Gladbach,0.7,1.5,42.0,10.0,1.0,0.0,0,0,Darmstadt 98
2024-02-17,Bundesliga,Matchweek 22,Home,L,1,2,Stuttgart,1.7,1.6,57.0,20.0,7.0,1.0,0,0,Darmstadt 98
2024-02-24,Bundesliga,Matchweek 23,Away,D,1,1,Werder Bremen,1.0,1.8,45.0,12.0,3.0,0.0,0,0,Darmstadt 98
2024-03-02,Bundesliga,Matchweek 24,Home,L,0,6,Augsburg,0.8,2.9,46.0,10.0,5.0,1.0,0,0,Darmstadt 98
2024-03-09,Bundesliga,Matchweek 25,Away,L,0,2,RB Leipzig,0.5,3.2,36.0,9.0,4.0,0.0,0,0,Darmstadt 98
2024-03-16,Bundesliga,Matchweek 26,Home,L,2,5,Bayern Munich,1.2,3.6,24.0,7.0,3.0,0.0,0,0,Darmstadt 98
2024-03-31,Bundesliga,Matchweek 27,Away,D,2,2,Bochum,0.9,1.8,43.0,12.0,3.0,0.0,0,0,Darmstadt 98
2024-04-06,Bundesliga,Matchweek 28,Away,L,0,4,Mainz 05,0.5,3.6,41.0,14.0,2.0,0.0,0,0,Darmstadt 98
2024-04-14,Bundesliga,Matchweek 29,Home,L,0,1,Freiburg,1.1,0.9,53.0,17.0,4.0,0.0,0,0,Darmstadt 98
2024-04-20,Bundesliga,Matchweek 30,Away,W,2,0,Köln,1.8,1.0,42.0,12.0,6.0,0.0,0,0,Darmstadt 98
2024-04-28,Bundesliga,Matchweek 31,Home,L,0,1,Heidenheim,0.7,1.6,45.0,11.0,3.0,1.0,0,0,Darmstadt 98
2024-05-04,Bundesliga,Matchweek 32,Away,L,0,3,Wolfsburg,0.4,2.2,47.0,6.0,1.0,1.0,0,0,Darmstadt 98
2024-05-12,Bundesliga,Matchweek 33,Home,L,0,6,Hoffenheim,0.6,3.3,41.0,10.0,0.0,0.0,0,0,Darmstadt 98
2024-05-18,Bundesliga,Matchweek 34,Away,L,0,4,Dortmund,0.3,2.6,28.0,6.0,0.0,0.0,0,0,Darmstadt 98
