date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2024-04-07,Serie A,Matchweek 31,Home,L,1.0,2.0,Genoa,1.3,2.2,61.0,12.0,3.0,0.0,0,0,Hellas Verona
2024-04-15,Serie A,Matchweek 32,Away,D,2.0,2.0,Atalanta,1.5,1.5,41.0,13.0,5.0,0.0,0,0,Hellas Verona
2024-04-20,Serie A,Matchweek 33,Home,W,1.0,0.0,Udinese,0.8,1.7,53.0,16.0,4.0,0.0,0,0,Hellas Verona
2024-04-27,Serie A,Matchweek 34,Away,L,0.0,1.0,Lazio,0.6,1.1,32.0,7.0,1.0,0.0,0,0,Hellas Verona
2024-05-05,Serie A,Matchweek 35,Home,W,2.0,1.0,Fiorentina,1.9,0.9,38.0,8.0,3.0,0.0,1,1,Hellas Verona
2024-05-12,Serie A,Matchweek 36,Home,L,1.0,2.0,Torino,1.2,0.5,43.0,13.0,5.0,0.0,0,0,Hellas Verona
2024-05-20,Serie A,Matchweek 37,Away,W,2.0,1.0,Salernitana,2.1,0.6,46.0,17.0,5.0,1.0,0,0,Hellas Verona
2023-08-13,Coppa Italia,First round,Home,W,1.0,0.0,Como,,,52.0,25.0,10.0,,0,0,Lecce
2023-08-20,Serie A,Matchweek 1,Home,W,2.0,1.0,Lazio,1.4,1.6,48.0,23.0,7.0,1.0,0,0,Lecce
2023-08-27,Serie A,Matchweek 2,Away,D,2.0,2.0,Fiorentina,0.3,1.3,41.0,6.0,2.0,0.0,0,0,Lecce
2023-09-03,Serie A,Matchweek 3,Home,W,2.0,0.0,Salernitana,1.7,1.1,46.0,19.0,5.0,0.0,1,1,Lecce
2023-09-17,Serie A,Matchweek 4,Away,D,1.0,1.0,Monza,0.9,2.2,39.0,3.0,2.0,0.0,1,1,Lecce
2023-09-22,Serie A,Matchweek 5,Home,W,1.0,0.0,Genoa,0.9,0.3,56.0,18.0,3.0,1.0,0,0,Lecce
2023-09-26,Serie A,Matchweek 6,Away,L,0.0,1.0,Juventus,0.1,1.4,50.0,2.0,0.0,0.0,0,0,Lecce
2023-09-30,Serie A,Matchweek 7,Home,L,0.0,4.0,Napoli,0.5,2.5,44.0,9.0,4.0,0.0,0,0,Lecce
2023-10-06,Serie A,Matchweek 8,Home,D,1.0,1.0,Sassuolo,1.7,1.5,43.0,13.0,4.0,0.0,0,0,Lecce
2023-10-23,Serie A,Matchweek 9,Away,D,1.0,1.0,Udinese,0.8,2.1,54.0,12.0,1.0,0.0,0,0,Lecce
2023-10-28,Serie A,Matchweek 10,Home,L,0.0,1.0,Torino,0.5,0.8,49.0,11.0,6.0,0.0,0,0,Lecce
2023-11-01,Coppa Italia,Second round,Home,L,2.0,4.0,Parma,,,58.0,18.0,6.0,,0,0,Lecce
2023-11-05,Serie A,Matchweek 11,Away,L,1.0,2.0,Roma,0.8,2.0,40.0,15.0,4.0,1.0,0,0,Lecce
2023-11-11,Serie A,Matchweek 12,Home,D,2.0,2.0,Milan,1.4,1.1,45.0,14.0,5.0,1.0,0,0,Lecce
2023-11-27,Serie A,Matchweek 13,Away,D,2.0,2.0,Hellas Verona,1.0,1.7,51.0,14.0,5.0,0.0,0,0,Lecce
2023-12-03,Serie A,Matchweek 14,Home,D,1.0,1.0,Bologna,1.5,1.2,43.0,13.0,3.0,0.0,1,1,Lecce
2023-12-11,Serie A,Matchweek 15,Away,D,1.0,1.0,Empoli,0.8,1.4,44.0,14.0,5.0,0.0,0,0,Lecce
2023-12-16,Serie A,Matchweek 16,Home,W,2.0,1.0,Frosinone,0.7,1.7,40.0,17.0,6.0,0.0,0,0,Lecce
2023-12-23,Serie A,Matchweek 17,Away,L,0.0,2.0,Inter,1.3,2.9,32.0,11.0,5.0,0.0,0,0,Lecce
2023-12-30,Serie A,Matchweek 18,Away,L,0.0,1.0,Atalanta,1.2,1.1,38.0,15.0,2.0,0.0,0,0,Lecce
2024-01-06,Serie A,Matchweek 19,Home,D,1.0,1.0,Cagliari,1.5,1.0,42.0,15.0,2.0,0.0,0,0,Lecce
2024-01-14,Serie A,Matchweek 20,Away,L,0.0,1.0,Lazio,1.1,0.9,48.0,11.0,3.0,0.0,0,0,Lecce
2024-01-21,Serie A,Matchweek 21,Home,L,0.0,3.0,Juventus,0.6,2.1,51.0,12.0,3.0,0.0,0,0,Lecce
2024-01-28,Serie A,Matchweek 22,Away,L,1.0,2.0,Genoa,1.8,1.7,51.0,18.0,4.0,2.0,0,1,Lecce
2024-02-02,Serie A,Matchweek 23,Home,W,3.0,2.0,Fiorentina,2.6,1.1,44.0,16.0,8.0,1.0,0,0,Lecce
2024-02-11,Serie A,Matchweek 24,Away,L,0.0,4.0,Bologna,1.2,1.5,36.0,14.0,3.0,1.0,0,0,Lecce
2024-02-16,Serie A,Matchweek 25,Away,L,0.0,2.0,Torino,0.5,1.2,41.0,8.0,3.0,0.0,0,0,Lecce
2024-02-25,Serie A,Matchweek 26,Home,L,0.0,4.0,Inter,1.0,2.9,39.0,14.0,2.0,0.0,0,0,Lecce
